stable_ref,paragraph_id,decision_id,action,start,end,suppressed_token
LDC.T12.1920-01-24.E001.P007,ldc_t12_1920_01_24_e001_p007,LEAD-00075,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-09-02.E001.P012,ldc_t12_1920_09_02_e001_p012,LEAD-00076,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-11-15.E001.P004,ldc_t12_1920_11_15_e001_p004,LEAD-00077,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-11-28.E001.P014,ldc_t12_1920_11_28_e001_p014,LEAD-00078,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-12-25.E001.P014,ldc_t12_1920_12_25_e001_p014,LEAD-00079,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-12-25.E001.P015,ldc_t12_1920_12_25_e001_p015,LEAD-00080,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-12-25.E001.P016,ldc_t12_1920_12_25_e001_p016,LEAD-00081,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1920-12-25.E001.P018,ldc_t12_1920_12_25_e001_p018,LEAD-00082,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1921-01-10.E001.P003,ldc_t12_1921_01_10_e001_p003,LEAD-00083,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1921-01-10.E001.P014,ldc_t12_1921_01_10_e001_p014,LEAD-00084,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1921-01-17.E001.P005,ldc_t12_1921_01_17_e001_p005,LEAD-00085,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1921-04-26.E001.P008,ldc_t12_1921_04_26_e001_p008,LEAD-00086,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P003,LDC.T13.E0001.P003,LEAD-00087,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P012,LDC.T13.E0001.P012,LEAD-00088,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P013,LDC.T13.E0001.P013,LEAD-00089,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P015,LDC.T13.E0001.P015,LEAD-00090,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P016,LDC.T13.E0001.P016,LEAD-00091,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P017,LDC.T13.E0001.P017,LEAD-00092,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P020,LDC.T13.E0001.P020,LEAD-00093,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P021,LDC.T13.E0001.P021,LEAD-00094,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P022,LDC.T13.E0001.P022,LEAD-00095,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P024,LDC.T13.E0001.P024,LEAD-00096,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P026,LDC.T13.E0001.P026,LEAD-00097,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P027,LDC.T13.E0001.P027,LEAD-00098,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P030,LDC.T13.E0001.P030,LEAD-00099,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P031,LDC.T13.E0001.P031,LEAD-00100,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P034,LDC.T13.E0001.P034,LEAD-00101,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P035,LDC.T13.E0001.P035,LEAD-00102,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P036,LDC.T13.E0001.P036,LEAD-00103,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P039,LDC.T13.E0001.P039,LEAD-00104,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P040,LDC.T13.E0001.P040,LEAD-00105,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0001.P041,LDC.T13.E0001.P041,LEAD-00106,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0002.P008,LDC.T13.E0002.P008,LEAD-00107,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0002.P009,LDC.T13.E0002.P009,LEAD-00108,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0002.P010,LDC.T13.E0002.P010,LEAD-00109,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0002.P011,LDC.T13.E0002.P011,LEAD-00110,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P010,LDC.T13.E0003.P010,LEAD-00111,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P011,LDC.T13.E0003.P011,LEAD-00112,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P012,LDC.T13.E0003.P012,LEAD-00113,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P014,LDC.T13.E0003.P014,LEAD-00114,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P015,LDC.T13.E0003.P015,LEAD-00115,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P016,LDC.T13.E0003.P016,LEAD-00116,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P018,LDC.T13.E0003.P018,LEAD-00117,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P019,LDC.T13.E0003.P019,LEAD-00118,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P020,LDC.T13.E0003.P020,LEAD-00119,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P022,LDC.T13.E0003.P022,LEAD-00120,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0003.P023,LDC.T13.E0003.P023,LEAD-00121,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P005,LDC.T13.E0004.P005,LEAD-00122,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P012,LDC.T13.E0004.P012,LEAD-00123,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P014,LDC.T13.E0004.P014,LEAD-00124,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P015,LDC.T13.E0004.P015,LEAD-00125,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P018,LDC.T13.E0004.P018,LEAD-00126,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P019,LDC.T13.E0004.P019,LEAD-00127,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P020,LDC.T13.E0004.P020,LEAD-00128,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P024,LDC.T13.E0004.P024,LEAD-00129,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P025,LDC.T13.E0004.P025,LEAD-00130,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P027,LDC.T13.E0004.P027,LEAD-00131,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0004.P028,LDC.T13.E0004.P028,LEAD-00132,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P003,LDC.T13.E0005.P003,LEAD-00133,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P005,LDC.T13.E0005.P005,LEAD-00134,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P006,LDC.T13.E0005.P006,LEAD-00135,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P007,LDC.T13.E0005.P007,LEAD-00136,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P008,LDC.T13.E0005.P008,LEAD-00137,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P009,LDC.T13.E0005.P009,LEAD-00138,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P013,LDC.T13.E0005.P013,LEAD-00139,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P019,LDC.T13.E0005.P019,LEAD-00140,SUPPRESS_LAYOUT_MARKER,0,2,'- '
