flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T22.P103-P105..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P104,LDC.T22.E0025.P104,37,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P103-P105..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P105,LDC.T22.E0025.P105,60,,,[]
FLOW.T22.P107-P109..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P107,LDC.T22.E0025.P107,56,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P107-P109..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P108,LDC.T22.E0025.P108,97,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P107-P109..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P109,LDC.T22.E0025.P109,42,,,[]
FLOW.T22.P111-P114..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P111,LDC.T22.E0025.P111,72,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P111-P114..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P112,LDC.T22.E0025.P112,9,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P111-P114..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P113,LDC.T22.E0025.P113,13,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P111-P114..E0025,LDC.T22.E0025,inherited_dash_continuation,3,LDC.T22.E0025.P114,LDC.T22.E0025.P114,59,,,[]
FLOW.T22.P116-P118..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P116,LDC.T22.E0025.P116,106,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P116-P118..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P117,LDC.T22.E0025.P117,43,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P116-P118..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P118,LDC.T22.E0025.P118,57,,,[]
FLOW.T22.P119-P120..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P119,LDC.T22.E0025.P119,132,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P119-P120..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P120,LDC.T22.E0025.P120,141,,,[]
FLOW.T22.P124-P126..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P124,LDC.T22.E0025.P124,110,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P124-P126..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P125,LDC.T22.E0025.P125,16,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P124-P126..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P126,LDC.T22.E0025.P126,50,,,[]
FLOW.T22.P127-P129..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P127,LDC.T22.E0025.P127,84,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P127-P129..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P128,LDC.T22.E0025.P128,29,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P127-P129..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P129,LDC.T22.E0025.P129,56,,,[]
FLOW.T22.P130-P131..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P130,LDC.T22.E0025.P130,40,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P130-P131..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P131,LDC.T22.E0025.P131,49,,,[]
FLOW.T22.P134-P138..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P134,LDC.T22.E0025.P134,75,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P134-P138..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P135,LDC.T22.E0025.P135,16,space,continue_same_speaker_only,"[[0, 2]]"
